PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
-0.9572449455379594,-0.6579625246953552,0.6036700554304938,-1.3538145128511314,-1.1708669860984946,-0.6100532252572006,0.24519355851768795,0.24764478595631653,1.6870265028379812
-1.104562108382668,-0.3383531367089032,-0.7263756220771149,-1.4676945821118104,-1.0539312561136722,0.05073229490802465,-0.1622305309814523,0.16587594301410596,1.6399166091537276
-0.8320646401441111,-0.7228555640426222,1.4916914768383804,-1.1564624426973353,-1.3500771165612049,0.18856065849898906,0.5573614084903283,0.03129482496909555,1.4652395492265493
-0.9243523581305716,-0.6304740300760663,0.8765062776474029,-1.252128245955911,-1.3463150435140727,0.08125527455350112,0.28370629047287543,0.16919805518164643,1.4964656243097356
-1.1011012315303232,-0.36297776750205885,-0.6460412548340894,-1.4644325877246513,-1.085266475583004,-0.01776833411419299,-0.16129796831295506,0.20413299209827596,1.6386796983271317
-0.9778644719486623,-0.7834015340493273,0.6886396102337714,-1.7739121590475233,-0.4252088621576629,-0.8419340935173426,0.33389076899651005,1.010084647082301,-0.2817897205726768
-0.953007495538686,-0.7196220615264013,0.8464418208404157,-1.675522621187585,-0.5768419137479454,-0.0323879578317882,0.3551214615738286,0.8922041837862361,-0.48193442114171237
-1.1338930085559302,-0.5126713052958948,-0.46410708143092555,-1.8732976450528025,-0.4892032383970173,-0.2253687697120797,-0.1561292128316953,1.0942260126680488,-0.3919083856297631
-1.0948626571722118,-0.6043059095104525,-0.1951011271868737,-1.8746191572257513,-0.40653067537985826,-0.6342741923009284,-0.010921983417550973,1.0855817140364978,-0.2948774166123396
-1.144660447267608,0.8029354596276611,0.5643906294146387,0.46905550926622847,-0.5566297770620614,-1.2975727973332463,0.7936735935401589,-0.4091408643325204,0.6644401718494178
-1.1830377308919127,1.217558710069674,-0.4064437744295864,0.5281363242057318,-0.36791805956957174,0.5699462830247285,0.7261473314451388,-0.9916884112694673,0.42780200840011734
-1.0254475477651626,0.7532603162871627,1.407148904230729,0.6663622706135951,-0.7456494758583592,-0.434080628128879,1.0845147476780106,-0.6270257227483024,0.428538364125257
-1.1508714615392532,0.06922448457620467,0.8420754824487086,-0.6125587834535344,-1.0145584305556783,-1.2554393017701142,-0.1397112108147439,-0.36101573160613787,0.7098962818583253
-1.216485569320001,0.10148319778177278,0.40216958348906784,-0.7096399200871566,-0.948436523199976,-1.6373062751640115,-0.3123204092750202,-0.23493512082393583,0.8089256176028513
-1.078527602954999,0.06720019214183579,1.170776761658319,-0.5251337005633602,-0.9585443533010937,-0.8541181114046649,0.09125761974306129,-0.5974659539275354,0.6550540213832414
-1.248550981038811,0.24651598993105794,-0.05723249210473792,-0.7228125381826791,-0.8531046832107464,-1.1656265833503048,-0.38072060024956933,-0.3925961842001265,0.7709083787173371
0.3203615661192512,-1.6651037115609024,0.02941830703992538,0.42921706022238054,-1.350201002369584,-1.3015714318111522,-0.7787192695091207,-0.5715245614165482,0.10644418879663807
0.25129373685018946,-1.5055463597926364,-0.8423097855813796,0.30784182342719424,-1.0120734493537766,-1.4143371718910818,-0.8779005496718694,-0.7265837804192417,0.2679769201597406
0.3436168360458828,-1.6920324670651337,0.4995718741578682,0.5470087384166056,-1.7266134909699378,-0.6598529674759853,-0.8318296965065896,-0.4656158165025008,-0.15402712351216244
-1.1382750120880545,0.8136616441827234,0.5126316356182837,0.5520155323402336,-0.6008679635628995,-1.2789210881938446,0.771787571700236,-0.3162551021573925,0.44284169493731584
-1.2772719979250258,0.9935621075686459,-0.3486794790061431,0.4624665128462138,-0.7479381170586191,-0.9401454346844017,0.3083276130694875,-0.11563239719817535,0.3447391543505576
-1.1589816361021705,0.9462395916052385,0.4870812898605191,0.6597662696287981,-0.9384743368647055,-0.06662333555698743,0.595871743199454,-0.33375454477074057,0.1066552452245682
-1.2638394352856823,0.9672062013686379,-0.27383435200391015,0.46095064398354907,-0.7073446856518046,-1.0707489158228927,0.36205183218916526,-0.13086079297940986,0.38122303468144775
-1.6731946574272079,-1.2091262156531821,0.106977871713094,0.7239701759670514,-0.9590685227269667,-0.9512929760685166,-0.05288751533405258,0.28960343351796625,0.47912358442619496
-1.7309000531013052,-1.1338408242500817,-0.4892735518849415,0.6140062201670784,-0.7318481758946673,-1.2956499281987317,-0.151487494790504,0.26825081274521195,0.6345516312751145
-1.8247137610024644,-1.0762862729980927,-0.5788972882359432,0.6505046643086494,-1.3118453095921254,-0.6307434960860538,-0.6182805160988715,0.6738396045594195,0.3042871199996503
